id	ind	cr	ac	ind_ns	cr_ns	ac_ns
0	27	27	27	93	612	1754
1	8	8	8	49	231	311
2	7	7	7	38	118	228
3	0	0	0	49	38	25
4	15	15	15	56	185	255
5	4	4	4	28	123	121
6	57	0	0	37	30	42
7	501	501	501	33	192	191
8	2	0	0	27	16	24
9	0	0	0	43	16	23
10	95	0	0	37	17	16
11	7	0	0	51	24	25
12	6	6	6	44	118	149
13	48	48	48	28	233	194
14	133	0	0	28	15	33
15	498	498	498	27	141	126
16	4	0	0	28	14	18
17	0	0	0	33	17	17
18	144	144	144	50	519	780
19	68	68	68	38	404	535
20	9	9	9	33	205	363
21	0	0	0	50	39	28
22	39	39	39	42	369	478
23	168	168	132	34	267	412
24	44	0	0	39	26	32
25	10296	10296	10100	40	263	330
26	4	0	0	42	30	28
27	68	0	0	47	29	24
28	475	0	0	43	27	24
29	211	15	0	38	246	353
30	31	31	17	39	234	304
31	36	0	0	36	16	35
32	1805	0	0	30	16	15
33	598	0	0	31	15	17
34	36	36	36	39	266	376
35	36	36	36	32	185	245
36	405	405	369	55	688	3650
37	128	128	128	105	437	1001
38	9	9	9	38	257	524
39	0	0	0	49	33	31
40	243	87	85	55	520	961
41	832	592	532	38	458	895
42	75487	0	0	64	34	34
43	2959912	802	18	46	416	749
44	154	0	0	58	34	32
45	6	0	0	47	17	18
46	77615	38627	37943	45	462	901
47	69300	0	0	40	17	17
48	49	49	0	44	408	648
49	156	0	0	60	27	16
50	9386	152	152	37	352	790
51	4851693	0	0	56	17	35
52	235	35	35	38	416	692
53	7	0	0	49	16	17
54	1296	1296	1296	63	948	3159
55	1280	1280	1280	60	695	1821
56	24	24	0	55	330	712
57	0	0	0	39	28	17
58	495	315	297	53	650	1653
59	3264	3264	2304	41	650	1691
60	219571	241	205	41	466	934
61	576416423	59411	611	40	532	1129
62	673	37	37	41	481	914
63	1423	175	175	40	517	1267
64	48260	0	0	61	22	17
65	480308506	10996	804	53	362	740
66	669	0	0	51	31	25
67	2753	0	0	66	31	39
68	114	0	0	47	23	17
69	11643588	0	0	64	17	33
70	131	0	0	46	36	16
71	2142	78	0	63	467	942
72	6318	6318	5184	75	1106	4428
73	6912	6912	6720	51	912	3000
74	16	16	0	49	360	1000
75	0	0	0	55	17	30
76	2889	1053	963	61	998	2703
77	15360	11520	9600	45	900	2739
78	526243	5035	0	46	708	1672
79	392030204	108212	108212	45	755	2154
80	303	0	0	48	30	31
81	736	0	0	73	36	23
82	2014	0	0	74	29	24
83	288198408	0	0	66	37	31
84	528	0	0	64	24	15
85	855	555	555	66	690	2071
86	37703923	18937699	17456155	46	846	2455
87	586061388	5862384	5862384	50	613	1685
88	111	0	0	58	30	24
89	799	0	0	62	25	25
90	13122	13122	11664	78	1464	7504
91	27648	27648	25344	75	1188	3966
92	24	24	0	67	392	1315
93	0	0	0	47	22	31
94	17253	9639	7353	52	1219	4032
95	53248	31744	21664	66	1206	3888
96	235229526	0	0	74	25	37
97	1921387108905	0	0	69	24	27
98	913	43	19	71	675	2083
99	10763	0	0	56	25	25
100	200565529	169	169	63	663	1764
101	6609381876405	0	0	64	25	29
102	1010	0	0	65	23	45
103	6006	0	0	50	17	34
104	39617660	0	0	66	23	34
105	677288700	0	0	67	28	48
106	1717	0	0	79	22	24
107	15108	0	0	87	36	31
108	61236	61236	31752	85	1783	7801
109	118784	118784	97280	72	1509	6004
110	26	26	0	58	437	1615
111	0	0	0	47	18	28
112	41553	17253	10701	71	1503	5959
113	397312	348160	200704	58	1526	5918
114	6587214298	48742	2572	58	895	2644
115	653387224654613	519	0	57	674	2136
116	11998	0	0	66	39	36
117	147807	87	0	66	605	1916
118	383795710	0	0	70	34	31
119	13228274554011	187011	0	66	786	2477
120	26273	0	0	74	25	23
121	14712	0	0	67	23	25
122	2746016919	0	0	80	32	43
123	7531843185012	0	0	62	30	16
124	8280	282	282	72	1165	4007
125	46355	83	83	57	1189	4495
126	216513	216513	139239	75	2126	15322
127	638976	638976	528384	77	1949	8901
128	43	43	0	80	532	2165
129	0	0	0	58	18	30
130	159651	51759	43497	76	1884	8561
131	1753088	1261568	733184	63	1840	9029
132	2827714444	0	0	79	23	24
133	27682340832888001	0	0	83	23	23
134	24803	413	0	71	1267	4379
135	150172	0	0	67	17	34
136	5366250927	0	0	88	31	25
137	46793446865826511	0	0	78	25	22
138	61272	0	0	88	31	16
139	179286	0	0	87	25	17
140	3670230329	0	0	85	23	24
141	281569710331999	0	0	72	16	15
142	9030	0	0	82	24	15
143	36960	0	0	90	40	24
144	728271	728271	581013	93	2666	14823
145	2686976	2686976	1438208	91	2249	10892
146	39	39	0	76	567	2839
147	0	0	0	45	17	32
148	387099	225261	119475	82	2296	10312
149	5701632	4325376	2441472	68	2392	11455
150	1308157818348	222870	0	68	1360	5352
151	746651299146291	0	0	84	24	23
152	29929	0	0	67	23	24
153	118124	227	227	75	1367	5030
154	645471999332	0	0	84	18	16
155	5659741482819	107743689	107743689	77	1215	5291
156	20183	0	0	79	24	16
157	149644	0	0	88	31	28
158	1704802112221	32053	32053	78	1384	6120
159	980096216821	0	0	91	24	17
160	154323	0	0	72	15	17
161	468434	0	0	84	23	26
162	1594323	1594323	1340631	73	3072	17172
163	6553600	6553600	3629056	88	2747	14135
164	53	53	0	89	666	3577
165	0	0	0	43	27	28
166	820125	413343	341415	86	2712	14543
167	35127296	19398656	8720768	74	2751	13728
168	36890980540277	0	0	83	29	29
169	18741180606617502	6999102	6999102	82	1420	6871
170	146851	0	0	86	26	24
171	6051032	0	0	96	23	28
172	122482740570	490061832	490061832	83	2045	9906
173	276823411153396717995	0	0	70	25	24
174	162769	177	0	69	1304	5668
175	1219664	0	0	92	26	16
176	6239240130189	0	0	79	37	23
177	635808004334588408305	0	0	91	24	16
178	79113	0	0	77	35	25
179	3413804	7556	7556	93	1353	6701
180	10451673	10451673	3613653	91	3490	22775
181	44040192	44040192	26910720	105	3342	18536
182	54	54	0	85	715	4505
183	0	0	0	45	18	31
184	2421009	1751787	1172475	75	3323	17683
185	122683392	78643200	29863296	79	3281	17900
186	1414388218705	341842813	341842813	80	2230	12900
187	53722122297626265418881	0	0	90	25	16
188	494558	0	0	99	27	17
189	4546310	485	0	87	1462	6370
190	1067858650967827	0	0	89	26	28
191	27131490119018041177410	0	0	90	25	27
