cell_id,n,k,family,observed_error_weight,trials,dedup_complete,history_complete,median_q_membership,median_q_score,median_score_savings,median_stop_shell,median_theorem_cap_slack,bestpath_selected_disagreement_count
n32_k21_crc_defined_linear_R2_3,32,21,crc_defined_linear,0,4,4,4,33.0,1.0,2097152.0,0.0,1.0,0
n32_k21_crc_defined_linear_R2_3,32,21,crc_defined_linear,1,4,4,4,971.0,3.5,734003.2,1.0,1.0,1
n32_k21_crc_defined_linear_R2_3,32,21,crc_defined_linear,2,4,4,4,7121.0,5.5,411940.5714285714,1.5,1.5,1
n32_k21_crc_defined_linear_R2_3,32,21,crc_defined_linear,3,4,4,4,13355.0,6.0,359511.77142857143,2.0,2.0,2
n32_k21_crc_defined_linear_R2_3,32,21,crc_defined_linear,4,4,4,4,13683.0,6.0,359511.77142857143,2.0,3.0,2
n32_k21_random_systematic_linear_R2_3,32,21,random_systematic_linear,0,4,4,4,33.0,1.0,2097152.0,0.0,1.0,0
n32_k21_random_systematic_linear_R2_3,32,21,random_systematic_linear,1,4,4,4,966.5,1.0,2097152.0,1.0,1.0,0
n32_k21_random_systematic_linear_R2_3,32,21,random_systematic_linear,2,4,4,4,13390.0,7.0,299593.14285714284,2.0,1.0,2
n32_k21_random_systematic_linear_R2_3,32,21,random_systematic_linear,3,4,4,4,972.5,2.0,1048576.0,1.0,3.0,3
n32_k21_random_systematic_linear_R2_3,32,21,random_systematic_linear,4,4,4,4,13660.5,4.5,471859.2,2.0,3.0,3
n32_k24_crc_defined_linear_R3_4,32,24,crc_defined_linear,0,4,4,4,33.0,1.0,16777216.0,0.0,1.0,0
n32_k24_crc_defined_linear_R3_4,32,24,crc_defined_linear,1,4,4,4,964.5,4.0,4473924.266666667,1.0,1.0,3
n32_k24_crc_defined_linear_R3_4,32,24,crc_defined_linear,2,4,4,4,963.5,3.5,4893354.666666666,1.0,2.0,4
n32_k24_crc_defined_linear_R3_4,32,24,crc_defined_linear,3,4,4,4,970.0,3.5,4893354.666666666,1.0,3.0,1
n32_k24_crc_defined_linear_R3_4,32,24,crc_defined_linear,4,4,4,4,960.5,2.5,6990506.666666666,1.0,4.0,0
n32_k24_random_systematic_linear_R3_4,32,24,random_systematic_linear,0,4,4,4,487.5,2.5,10485760.0,0.5,0.5,0
n32_k24_random_systematic_linear_R3_4,32,24,random_systematic_linear,1,4,4,4,970.5,4.0,4194304.0,1.0,1.0,3
n32_k24_random_systematic_linear_R3_4,32,24,random_systematic_linear,2,4,4,4,967.5,4.0,4194304.0,1.0,2.0,3
n32_k24_random_systematic_linear_R3_4,32,24,random_systematic_linear,3,4,4,4,7273.5,25.5,2275633.0212765955,1.5,2.5,1
n32_k24_random_systematic_linear_R3_4,32,24,random_systematic_linear,4,4,4,4,965.0,3.0,5592405.333333333,1.0,4.0,3
n32_k26_extended_hamming_HAMMING,32,26,extended_hamming,0,4,4,4,33.0,1.5,50331648.0,0.0,1.0,1
n32_k26_extended_hamming_HAMMING,32,26,extended_hamming,1,4,4,4,960.0,15.5,4445245.264957265,1.0,1.0,3
n32_k26_extended_hamming_HAMMING,32,26,extended_hamming,2,4,4,4,33.0,2.5,27962026.666666664,0.0,3.0,2
n32_k26_extended_hamming_HAMMING,32,26,extended_hamming,3,4,4,4,961.5,16.0,4194304.0,1.0,3.0,4
n32_k26_extended_hamming_HAMMING,32,26,extended_hamming,4,4,4,4,502.0,9.5,35418567.11111111,0.5,4.5,2
