trial_id,trial_kind,cell_id,trial_index,trial_seed,code_instance,code_seed,family,rate_label,n,k,rate,p_num,p_den,p_s,transmitted_word_hex,observation_hex,deletion_position,observed_error_weight,forced_error_weight,theorem_offset,theorem_stop_shell_cap,max_generated_attempts,run_exhaustive,run_branch,branch_node_cap,branch_time_ms,code_size,generator_rows_hex,parity_check_rows_hex,code_construction
0,natural,n16_k11_random_systematic_linear_R2_3,0,1108666843682771030,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x21db,0x21db,15,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
1,natural,n16_k11_random_systematic_linear_R2_3,1,9235320778967549675,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x195a,0xc5a,8,0,,1,0,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
2,natural,n16_k11_random_systematic_linear_R2_3,2,16408972048460692248,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x8ada,0x5ada,14,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
3,natural,n16_k11_random_systematic_linear_R2_3,3,36756737541360857,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x3a2b,0x1c2b,9,0,,1,0,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
4,natural,n16_k11_random_systematic_linear_R2_3,4,14751145405662823440,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xaf4a,0x57a2,3,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
5,natural,n16_k11_random_systematic_linear_R2_3,5,6337100520531395474,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xd969,0x6da1,3,2,,1,2,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
6,natural,n16_k11_random_systematic_linear_R2_3,6,5760580849667870238,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xea7,0x6a7,10,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
7,natural,n16_k11_random_systematic_linear_R2_3,7,2181632642283355067,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x31a2,0x19c2,5,1,,1,1,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
8,natural,n16_k11_random_systematic_linear_R2_3,8,5726140483634442587,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xe9b9,0x7139,11,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
9,natural,n16_k11_random_systematic_linear_R2_3,9,13124099064954499303,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xb7b9,0x5fb9,10,1,,1,1,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
